pokestop_id,enabled,latitude,longitude,last_modified,lure_expiration,active_fort_modifier,last_updated
00ff0b35577841e6ada99664c28dd8af.16,1,-31.692932,-52.339667,"2018-01-30 20:39:17",NULL,NULL,"2018-02-18 13:50:56"
091cc298d82f418c868b2c2864d51336.16,1,-31.764076,-52.347841,"2018-01-03 16:21:20",NULL,NULL,"2018-01-27 02:31:40"
09b34dafcbcb4f239a430a516b4e4d2b.16,1,-31.770128,-52.34157,"2018-02-17 18:36:55",NULL,NULL,"2018-02-18 14:02:36"
0d8bac1c86d64430b33531f159ec9149.16,1,-31.753269,-52.333855,"2018-01-03 15:58:38",NULL,NULL,"2018-01-27 03:04:03"
0dd0ef2746864a39857318f7f65de83d.16,1,-31.755329,-52.277069,"2017-08-29 17:46:50",NULL,NULL,"2018-02-18 13:57:23"
0e01455d17f242669a4f71344e354043.16,1,-31.75308,-52.241931,"2018-01-22 18:40:17",NULL,NULL,"2018-02-18 14:01:01"
0f2b703f60d9447e91b70b189d24070c.16,1,-31.761811,-52.229797,"2018-01-03 21:46:19",NULL,NULL,"2018-02-18 14:02:37"
11b1528cd4124b368c69ca04c4c89c9d.16,1,-31.779635,-52.317081,"2018-01-23 21:35:17",NULL,NULL,"2018-02-18 13:57:49"
1701bd04fddc41aeb864e5ca54251f77.16,1,-31.743728,-52.317924,"2018-01-03 15:50:36",NULL,NULL,"2018-02-18 13:59:08"
17e2fc239a3a47a5854b620645796029.16,1,-31.767274,-52.227415,"2018-02-13 12:11:34",NULL,NULL,"2018-02-18 14:02:37"
1a0f9ccce9c44efaaef58faaeb215c38.16,1,-31.756154,-52.228026,"2018-02-06 00:12:32","2018-02-06 00:42:32",501,"2018-02-06 00:12:50"
1c03cdbbd6a642bd82ff55a03cd56ecd.16,1,-31.774623,-52.341915,"2018-01-03 12:09:58",NULL,NULL,"2018-01-27 02:27:52"
2293d3926b8d4accb246ec8dff6036c5.16,1,-31.715304,-52.354852,"2017-11-04 22:09:44",NULL,NULL,"2018-02-18 14:02:24"
24d6a0fc5e8c4bf99d65e670092b0dd4.16,1,-31.755913,-52.320081,"2018-01-14 17:30:17",NULL,NULL,"2018-02-18 14:02:35"
2d7e23de71b949c8a3cb311827d6b6f6.16,1,-31.760344,-52.337756,"2018-01-25 03:02:50",NULL,NULL,"2018-01-27 03:01:43"
2e7918e439ba44c7ad9636c39877d67f.16,1,-31.757056,-52.381898,"2018-01-04 01:44:02",NULL,NULL,"2018-02-18 14:01:55"
2fd6a784ff47443dba62d9c09eb3683d.16,1,-31.733745,-52.210547,"2018-02-15 18:39:27",NULL,NULL,"2018-02-18 13:53:39"
34c2ac73a65f4c3595543bfba72e59e9.16,1,-31.771077,-52.350266,"2018-01-19 19:23:40",NULL,NULL,"2018-02-18 14:02:31"
3532f62283a64e92a71a15445a5e596d.16,1,-31.775068,-52.342345,"2018-02-15 17:01:21",NULL,NULL,"2018-02-18 14:02:35"
37eb8bace2014679924878fd96b06dbb.16,1,-31.744614,-52.390258,"2018-01-07 20:49:46",NULL,NULL,"2018-02-18 14:01:35"
3aed26ffccf34bb09a565de08351eb2a.16,1,-31.769713,-52.340447,"2018-02-17 18:25:19",NULL,NULL,"2018-02-18 14:02:36"
3d1b1dfa15194ea09f915e54a5b129cb.16,1,-31.776003,-52.339209,"2018-02-08 12:07:35","2018-02-08 12:37:35",501,"2018-02-08 12:07:56"
3e5c5d3522c84f07af8333b4b77c6a3f.16,1,-31.764014,-52.337736,"2018-02-10 10:46:44",NULL,NULL,"2018-02-18 14:02:36"
41d946b71fe44da1a8b9cd5358ac6ab9.16,1,-31.747178,-52.296973,"2018-02-02 18:41:46",NULL,NULL,"2018-02-02 18:42:09"
4354834610b6424ca8816a43baa63fdf.16,1,-31.75655,-52.320125,"2018-02-09 20:18:39","2018-02-09 20:48:39",501,"2018-02-09 20:38:50"
438684e9170a49f7b50150e5a0aca580.16,1,-31.722111,-52.343047,"2017-08-21 17:49:40",NULL,NULL,"2018-02-18 14:01:51"
45017127f09645e48141d98a1f4c0edd.16,1,-31.756425,-52.318275,"2018-01-03 15:57:32",NULL,NULL,"2018-02-18 14:02:35"
453fed9dd1df43dc8938ce374e037240.16,1,-31.769064,-52.341029,"2018-02-17 18:31:43","2018-02-17 19:01:43",501,"2018-02-17 18:32:14"
4af4f59272154a79ae47798be93d0db3.16,1,-31.736394,-52.21047,"2017-12-21 00:41:25",NULL,NULL,"2018-01-27 08:43:26"
4af60c4162e244d78a5793c879b1e91a.16,1,-31.761267,-52.33767,"2018-02-12 20:32:49",NULL,NULL,"2018-02-18 14:02:36"
4dc96646df5d42ecaa3a0187c44735ef.16,1,-31.742089,-52.391214,"2018-01-03 16:07:10",NULL,NULL,"2018-02-18 13:57:15"
4e3d34b77fc742829cee17f6bb695177.16,1,-31.765135,-52.344193,"2018-01-05 16:02:04",NULL,NULL,"2018-02-18 14:02:36"
4efd9a59b0094e92a72293e98e6f8236.16,1,-31.734586,-52.344359,"2018-02-10 23:13:17",NULL,NULL,"2018-02-18 14:02:37"
4fe39f4c688b4df7b8aea7a0b5611349.16,1,-31.7714,-52.341878,"2018-02-15 22:39:31","2018-02-15 23:09:31",501,"2018-02-15 22:40:25"
4fefc02fc1294649b617a4c9bb46a625.16,1,-31.758854,-52.346273,"2018-01-03 15:47:59",NULL,NULL,"2018-02-18 14:02:21"
5018657557b84c11967dc0f136151619.16,1,-31.758373,-52.348513,"2018-01-03 15:38:38",NULL,NULL,"2018-02-18 14:02:21"
53c3acc9a29c40febae9af598740ca4e.16,1,-31.770855,-52.341134,"2018-02-17 20:24:22",NULL,NULL,"2018-02-18 14:02:36"
5b57e330c2e947eb93448c1aacadb146.16,1,-31.773951,-52.345111,"2018-01-03 12:10:01",NULL,NULL,"2018-01-27 02:54:36"
64107ee4bd794d31acce3bf4f70679bd.16,1,-31.759161,-52.364768,"2018-01-03 15:41:05",NULL,NULL,"2018-01-27 02:55:24"
665a22da5e15467187e2bc792cacf678.11,1,-31.754693,-52.334044,"2018-01-18 12:57:46",NULL,NULL,"2018-01-27 03:03:04"
67956831877a4486b0105498a63d14d9.16,1,-31.750142,-52.386947,"2018-01-03 15:50:07",NULL,NULL,"2018-01-27 03:20:53"
6b0223f74eff4efcbad50787773f01ac.16,1,-31.760056,-52.336385,"2018-02-12 21:39:21","2018-02-12 22:09:21",501,"2018-02-12 21:39:34"
6c16345631d746ac8d68a54ac7f6306d.16,1,-31.691132,-52.340081,"2017-07-27 17:55:15",NULL,NULL,"2018-01-27 02:41:04"
72985951ba674deba9326ab9eda56760.16,1,-31.744982,-52.294506,"2018-02-01 18:38:33",NULL,NULL,"2018-02-02 18:41:45"
756edbfdbc3243aea423379c09fece35.16,1,-31.754358,-52.342656,"2018-01-03 15:49:34",NULL,NULL,"2018-01-27 03:02:19"
75edcf815c194d2c8ca6c86d7e12eb47.16,1,-31.711126,-52.344446,"2017-12-29 23:17:55",NULL,NULL,"2018-02-18 14:02:15"
77ed1ee5dddb4fc682f5cb8218b91524.16,1,-31.764398,-52.355086,"2018-01-03 15:58:18",NULL,NULL,"2018-02-18 14:02:13"
79c517a52f5e4bdc9ff6a64358f3bace.16,1,-31.760769,-52.339266,"2018-02-13 15:36:48",NULL,NULL,"2018-02-18 14:02:21"
7bcf926f43b144ecab44290f71d03c7c.16,1,-31.757033,-52.360597,"2018-01-03 16:20:38",NULL,NULL,"2018-02-18 14:02:23"
7c2ffec935a14c0190b37133145fdec0.16,1,-31.766268,-52.346206,"2018-02-10 01:29:54","2018-02-10 01:59:54",501,"2018-02-10 01:30:10"
7f088956766d43cfb25ae5baafa2e7eb.16,1,-31.756333,-52.319624,"2018-02-13 16:58:51","2018-02-13 17:28:51",501,"2018-02-13 16:59:22"
857333a3926749e0a7888da686fe3b34.16,1,-31.766582,-52.350885,"2018-02-06 16:24:58","2018-02-06 16:54:58",501,"2018-02-06 16:25:31"
872e72646d2142a99794a8cb4b1c2a81.16,1,-31.746618,-52.395552,"2018-01-03 15:38:15",NULL,NULL,"2018-01-27 02:30:32"
88580109c6ea44b5a24886190eb79cc0.16,1,-31.767773,-52.342132,"2018-02-12 22:34:32",NULL,NULL,"2018-02-18 14:02:36"
88589e56d3084e7bb4f21b961c3d8b08.16,1,-31.763516,-52.343903,"2018-01-23 19:40:07",NULL,NULL,"2018-01-27 02:54:02"
8a57c99d55de4f53a771fe3345044810.16,1,-31.756587,-52.385351,"2018-02-15 22:27:24",NULL,NULL,"2018-02-18 14:02:16"
8b043ae84518423dbfefe5cc8e0646c6.16,1,-31.71227,-52.34802,"2018-02-11 20:51:33","2018-02-11 21:21:33",501,"2018-02-11 20:51:42"
8f79a2ba54c142e7b5141c80e7a3c2f3.16,1,-31.740393,-52.298773,"2018-02-05 18:39:46",NULL,NULL,"2018-02-18 13:49:02"
90ee4a2a407a4b29a85849fbac081f46.16,1,-31.771319,-52.33969,"2018-02-13 23:13:09","2018-02-13 23:43:09",501,"2018-02-13 23:13:14"
90fee9094cef4b1c82c6af6ec8b44e4d.16,1,-31.757461,-52.378143,"2018-02-11 22:20:33",NULL,NULL,"2018-02-18 14:02:30"
947615f7fa7a4cb0a64fbf1e896cca23.16,1,-31.726281,-52.350901,"2018-01-24 01:40:28",NULL,NULL,"2018-01-27 02:31:29"
9656071321a545a8967d5c72710fde92.16,1,-31.714879,-52.343956,"2017-12-18 02:28:54",NULL,NULL,"2018-02-18 14:01:31"
967cb11b443643f999c085cf2b2495c9.16,1,-31.743343,-52.372673,"2018-01-04 20:34:19",NULL,NULL,"2018-02-18 14:02:32"
97a2cb9c7d6e4f58886aaf307ce9e28a.16,1,-31.715604,-52.332858,"2017-08-17 01:17:41",NULL,NULL,"2018-02-18 13:59:18"
97aaed27646e458d99de76ae70c7bf60.16,1,-31.768819,-52.337687,"2018-01-03 12:10:19",NULL,NULL,"2018-02-18 14:02:36"
97c262a923514b8a9a868cdc4f1d97ba.16,1,-31.740821,-52.385526,"2018-02-17 18:29:34",NULL,NULL,"2018-02-18 13:56:39"
97e51ceaf8f34b929d668ce98436b796.16,1,-31.762127,-52.336491,"2018-02-10 16:52:24","2018-02-10 17:22:24",501,"2018-02-10 16:52:26"
9821b812427947c8af8059aeaa04dab3.16,1,-31.756502,-52.325264,"2018-01-03 15:50:28",NULL,NULL,"2018-01-27 03:04:26"
9f419fa286464473a63688f5890352e6.16,1,-31.735709,-52.216193,"2017-12-13 18:39:20",NULL,NULL,"2018-01-27 09:08:21"
a2b8428030d448908a2546d9423362ed.16,1,-31.763141,-52.227906,"2018-02-16 16:17:37","2018-02-16 16:47:37",501,"2018-02-16 16:17:46"
a2c117b9d0a247478e3b39722efbe2cd.16,1,-31.771779,-52.341102,"2018-02-08 14:19:36","2018-02-08 14:49:36",501,"2018-02-08 14:19:47"
ad3a94c50a244311ad16aacb01f9d2f3.16,1,-31.768297,-52.346808,"2018-01-20 12:21:22",NULL,NULL,"2018-01-27 02:31:40"
ad80576aa358494eb5948984d596c53f.16,1,-31.769629,-52.338023,"2018-02-03 12:56:25",NULL,NULL,"2018-02-03 20:30:40"
b08d2e08a24048debabc0dcfb9e77591.16,1,-31.752217,-52.339302,"2018-01-03 15:50:51",NULL,NULL,"2018-02-18 14:01:13"
b1fa657bb1864ec1829065df8a2d0582.16,1,-31.746071,-52.39901,"2018-02-11 21:10:44","2018-02-11 21:40:44",501,"2018-02-11 21:12:41"
b3d501ac398a4cb0b6a1567b03f9b5d5.16,1,-31.728147,-52.342154,"2018-01-15 15:41:46",NULL,NULL,"2018-02-18 14:02:37"
b589967fc1384d6aa1abd4f95d5728f6.16,1,-31.735872,-52.213135,"2017-12-18 18:39:25",NULL,NULL,"2018-01-27 09:11:35"
b5a3ef342c3c444fa5464d8117399bfb.16,1,-31.755101,-52.397479,"2018-01-03 16:13:45",NULL,NULL,"2018-02-18 14:02:16"
b9ebfd694b264e01949ef775c83f46c5.16,1,-31.717859,-52.35342,"2017-12-31 13:14:00",NULL,NULL,"2018-02-18 14:02:24"
bab2387fab18419b98ceb92babb61b59.16,1,-31.720906,-52.355442,"2018-02-04 11:12:50",NULL,NULL,"2018-02-05 16:56:55"
bc06a777115b43b6b893c049c01cead5.16,1,-31.760803,-52.33899,"2018-02-12 20:34:01",NULL,NULL,"2018-02-18 14:02:36"
beaf7e0976004a29afa99f2a3979dd77.16,1,-31.723082,-52.342033,"2018-01-18 22:57:07",NULL,NULL,"2018-01-27 02:52:17"
c2ac1fcadf8e4246be11753844cda7a7.16,1,-31.770183,-52.33886,"2018-01-25 12:19:30",NULL,NULL,"2018-02-18 14:02:36"
c50684a50c6542e285d441e4c0cc728a.16,1,-31.76348,-52.356669,"2018-02-13 01:58:56","2018-02-13 02:28:56",501,"2018-02-13 02:00:54"
c75975ce920241e9ad85ef1155b7fee2.16,1,-31.759649,-52.338051,"2018-02-12 21:39:11","2018-02-12 22:09:11",501,"2018-02-12 21:46:36"
c7798f29e77e4370b575c12aa851d288.16,1,-31.770099,-52.340475,"2018-02-17 18:25:25",NULL,NULL,"2018-02-18 14:02:36"
ca7805f712de44d4a96299751a6c292b.16,1,-31.770773,-52.351498,"2018-01-06 11:05:40",NULL,NULL,"2018-02-18 14:02:31"
cb80a6e6cb6744ceba22ff7995bb9e14.16,1,-31.761609,-52.228165,"2018-02-13 11:58:47","2018-02-13 12:28:47",501,"2018-02-13 11:59:03"
cc0efb77955744d49ea9177f47223e1a.16,1,-31.759052,-52.366972,"2018-01-03 16:20:16",NULL,NULL,"2018-02-18 14:02:30"
cc2347c7f62848ebadb1bd56314d6bf1.16,1,-31.732695,-52.337472,"2017-11-04 16:16:37",NULL,NULL,"2018-01-27 02:51:58"
cc44d4d5caef4cbe8cf2305d7fc82bd1.16,1,-31.761084,-52.338417,"2018-02-16 23:47:56","2018-02-17 00:17:56",501,"2018-02-16 23:48:34"
cc77b306fe2e48df9cd7be7a177df315.16,1,-31.72015,-52.347733,"2017-12-08 13:30:03",NULL,NULL,"2018-01-27 02:59:22"
cee25df8a5264fe88b7c02257fe3eadd.16,1,-31.718147,-52.349083,"2017-10-25 23:54:08",NULL,NULL,"2018-01-27 02:36:29"
d2a9e1d3c23b4e16a48b0a18962130bb.16,1,-31.707225,-52.30432,"2017-08-17 01:17:41",NULL,NULL,"2018-02-18 13:32:07"
d34f294d28ab4045a4bafe2c7f56d0a6.12,1,-31.748264,-52.285649,"2017-12-31 22:42:01",NULL,NULL,"2018-02-18 14:01:55"
d5bebcfeda5d4803a2e5017ddf6fec11.16,1,-31.767294,-52.347629,"2018-02-12 13:43:36",NULL,NULL,"2018-02-18 14:02:36"
d8839425cb234992995e91c606aace49.16,1,-31.763579,-52.339098,"2018-02-14 20:20:31","2018-02-14 20:50:31",501,"2018-02-14 20:20:40"
d8dbc8f84e2946b58b13c1f3ed3074b6.16,1,-31.768941,-52.341516,"2018-02-17 18:32:43",NULL,NULL,"2018-02-18 14:02:36"
d8e1dbb2249143dda550e08f3e58542c.16,1,-31.700679,-52.33945,"2018-01-18 22:52:56",NULL,NULL,"2018-02-18 13:54:43"
db7a3ddbd5aa41258ea0abbae079e208.16,1,-31.769502,-52.341367,"2018-02-17 18:32:23",NULL,NULL,"2018-02-18 14:02:36"
de9eb56af6ae4b76a0387aae29acc432.16,1,-31.733117,-52.323426,"2018-01-18 21:42:22",NULL,NULL,"2018-01-27 02:29:38"
e2301fe35ae240c79a19947df29a6175.16,1,-31.769988,-52.341003,"2018-02-17 20:21:59","2018-02-17 20:51:59",501,"2018-02-17 20:22:21"
e323b7967bbe404484489fbba5f7e29c.16,1,-31.745375,-52.334523,"2018-01-02 21:34:56",NULL,NULL,"2018-02-18 14:01:42"
e36daf1e6ce645ffa41ec36f125b98a0.16,1,-31.757065,-52.372343,"2018-02-02 12:18:09","2018-02-02 12:48:09",501,"2018-02-02 12:18:24"
e6d7466f94ac4bd6ba81d1cfc1ded71b.16,1,-31.755446,-52.317034,"2018-02-10 22:14:13",NULL,NULL,"2018-02-18 14:02:35"
e9c618e52786478084e3f8b4c1d6eb2e.16,1,-31.769954,-52.343084,"2018-01-25 13:33:05",NULL,NULL,"2018-02-18 14:02:36"
e9caf2bc639c4465bc4fa1c51796ca8c.16,1,-31.773222,-52.332159,"2018-01-03 15:53:50",NULL,NULL,"2018-01-27 02:27:52"
ea85ccfb9d58406b9a361e43694c21d3.16,1,-31.766428,-52.349948,"2018-02-06 13:39:48",NULL,NULL,"2018-02-18 14:02:13"
ed6b2121913f487eaf9ef63a98a42c61.16,1,-31.750665,-52.389876,"2018-01-03 16:09:18",NULL,NULL,"2018-01-27 03:20:53"
eda8a0d86f3548bc89687e7fd3728897.16,1,-31.742414,-52.292657,"2018-02-16 20:25:57","2018-02-16 20:55:57",501,"2018-02-16 20:26:06"
f000de19ce7c4a84901c9bafea1b2d9b.16,1,-31.756932,-52.319252,"2018-02-04 19:08:55",NULL,NULL,"2018-02-05 16:53:11"
f02f8abca12f42ebb57b9c0a448bd1a7.16,1,-31.762474,-52.334669,"2018-02-17 02:55:04",NULL,NULL,"2018-02-18 14:02:30"
f1c11cf261e94290a136b2e183fd3056.16,1,-31.695029,-52.35933,"2018-02-12 18:40:21",NULL,NULL,"2018-02-12 20:57:42"
f576a78aecb245e3ab019a2f65768f4c.16,1,-31.762171,-52.334806,"2018-02-17 02:55:39","2018-02-17 03:25:39",501,"2018-02-17 02:56:06"
f6142f7dcae248d7800fa444ad7816e3.16,1,-31.772366,-52.342823,"2018-01-06 17:52:28",NULL,NULL,"2018-02-18 14:02:35"
f77fc3d52f9f4c93b63af968c143309b.16,1,-31.768881,-52.342701,"2018-01-21 14:27:09",NULL,NULL,"2018-02-18 14:02:36"
f874dbe2d62e417abf99ad94c10c7ede.16,1,-31.772379,-52.225287,"2018-02-16 12:51:42",NULL,NULL,"2018-02-18 14:02:10"
f9cc7e0a8dea41059bdae188118f5b95.16,1,-31.764049,-52.334214,"2018-01-14 19:26:52",NULL,NULL,"2018-01-27 02:56:57"
f9eece0cda6645d0a4e1b53c72a87206.16,1,-31.721769,-52.351008,"2018-01-18 22:48:17",NULL,NULL,"2018-01-27 02:58:51"
fa0ca52f64814d1f98e20236bc058767.16,1,-31.741156,-52.344084,"2018-02-15 21:20:46",NULL,NULL,"2018-02-18 14:01:19"
fb2161a929fc45a9a171365a4a68b4cc.16,1,-31.761729,-52.360533,"2018-01-12 18:33:40",NULL,NULL,"2018-01-27 02:56:46"
fee1eaba5f684d7db73b06bd379e88d9.16,1,-31.75051,-52.298593,"2017-12-19 23:13:35",NULL,NULL,"2018-02-18 13:54:24"
ffd04f5036054b6ca52bcf2e892ce3e3.16,1,-31.759639,-52.337154,"2018-02-12 21:51:01",NULL,NULL,"2018-02-18 14:02:30"
